network,chain_id,currency,asset,denomination,pool_address,decimals,token_address,api_base,api_style,rpc_url,explorer_addr,explorer_tx,router_address
ethereum,1,ETH,ETH,0.1,0x12D66f87A04A9E220743712cE6d9bB1B5616B8Fc,18,,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,ETH,1,0x47CE0C6eD5B0Ce3d3A51fdb1C52DC66a7c3c2936,18,,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,ETH,10,0x910Cbd523D972eb0a6f4cAe4618aD62622b39DbF,18,,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,ETH,100,0xA160cdAB225685dA1d56aa342Ad8841c3b53f291,18,,,,https://ethereum-rpc.publicnode.com,,,
bsc,56,BNB,BNB,0.1,0x84443CFd09A48AF6eF360C6976C5392aC5023a1F,18,,,,https://bsc-rpc.publicnode.com,,,
bsc,56,BNB,BNB,1,0xd47438C816c9E7f2E2888E060936a499Af9582b3,18,,,,https://bsc-rpc.publicnode.com,,,
bsc,56,BNB,BNB,10,0x330bdFADE01eE9bF63C209Ee33102DD334618e0a,18,,,,https://bsc-rpc.publicnode.com,,,
bsc,56,BNB,BNB,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,,,https://bsc-rpc.publicnode.com,,,
arbitrum,42161,ETH,ETH,0.1,0x84443CFd09A48AF6eF360C6976C5392aC5023a1F,18,,,,https://arbitrum-one-rpc.publicnode.com,,,
arbitrum,42161,ETH,ETH,1,0xd47438C816c9E7f2E2888E060936a499Af9582b3,18,,,,https://arbitrum-one-rpc.publicnode.com,,,
arbitrum,42161,ETH,ETH,10,0x330bdFADE01eE9bF63C209Ee33102DD334618e0a,18,,,,https://arbitrum-one-rpc.publicnode.com,,,
arbitrum,42161,ETH,ETH,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,,,https://arbitrum-one-rpc.publicnode.com,,,
optimism,10,ETH,ETH,0.1,0x84443CFd09A48AF6eF360C6976C5392aC5023a1F,18,,https://optimism.blockscout.com/api,compat,https://optimism-rpc.publicnode.com,,,
optimism,10,ETH,ETH,1,0xd47438C816c9E7f2E2888E060936a499Af9582b3,18,,https://optimism.blockscout.com/api,compat,https://optimism-rpc.publicnode.com,,,
optimism,10,ETH,ETH,10,0x330bdFADE01eE9bF63C209Ee33102DD334618e0a,18,,https://optimism.blockscout.com/api,compat,https://optimism-rpc.publicnode.com,,,
optimism,10,ETH,ETH,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,https://optimism.blockscout.com/api,compat,https://optimism-rpc.publicnode.com,,,
polygon,137,MATIC,MATIC,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,,,https://polygon-bor-rpc.publicnode.com,,,0x0d5550d52428e7e3175bfc9550207e4ad3859b17
polygon,137,MATIC,MATIC,1000,0xdf231d99Ff8b6c6CBF4E9B9a945CBAcEF9339178,18,,,,https://polygon-bor-rpc.publicnode.com,,,0x0d5550d52428e7e3175bfc9550207e4ad3859b17
polygon,137,MATIC,MATIC,10000,0xaf4c0B70B2Ea9FB7487C7CbB37aDa259579fe040,18,,,,https://polygon-bor-rpc.publicnode.com,,,0x0d5550d52428e7e3175bfc9550207e4ad3859b17
gnosis,100,xDAI,xDAI,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,,,https://gnosis-rpc.publicnode.com,,,
gnosis,100,xDAI,xDAI,1000,0xdf231d99Ff8b6c6CBF4E9B9a945CBAcEF9339178,18,,,,https://gnosis-rpc.publicnode.com,,,
gnosis,100,xDAI,xDAI,10000,0xaf4c0B70B2Ea9FB7487C7CbB37aDa259579fe040,18,,,,https://gnosis-rpc.publicnode.com,,,
avalanche,43114,AVAX,AVAX,10,0x330bdFADE01eE9bF63C209Ee33102DD334618e0a,18,,https://api.routescan.io/v2/network/mainnet/evm/43114/etherscan/api,compat,https://avalanche-c-chain-rpc.publicnode.com,,,0x0d5550d52428e7e3175bfc9550207e4ad3859b17
avalanche,43114,AVAX,AVAX,10,0xe1376deF383d1656f5A40B6ba31f8c035bfc26AA,18,,https://api.routescan.io/v2/network/mainnet/evm/43114/etherscan/api,compat,https://avalanche-c-chain-rpc.publicnode.com,,,0x171fb28ebffcb2737e530e1fd48cb4ef12e5031e
avalanche,43114,AVAX,AVAX,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,https://api.routescan.io/v2/network/mainnet/evm/43114/etherscan/api,compat,https://avalanche-c-chain-rpc.publicnode.com,,,0x0d5550d52428e7e3175bfc9550207e4ad3859b17
avalanche,43114,AVAX,AVAX,100,0x7ce57F6a5A135eB1A8e9640aF1Eff9665adE00D9,18,,https://api.routescan.io/v2/network/mainnet/evm/43114/etherscan/api,compat,https://avalanche-c-chain-rpc.publicnode.com,,,0x171fb28ebffcb2737e530e1fd48cb4ef12e5031e
avalanche,43114,AVAX,AVAX,500,0x6CEB170E3ec0faFaE3be5a02FeFB81f524fE85c5,18,,https://api.routescan.io/v2/network/mainnet/evm/43114/etherscan/api,compat,https://avalanche-c-chain-rpc.publicnode.com,,,0x171fb28ebffcb2737e530e1fd48cb4ef12e5031e
base,8453,ETH,ETH,0.1,0x84443CFd09A48AF6eF360C6976C5392aC5023a1F,18,,,,https://base-rpc.publicnode.com,,,
base,8453,ETH,ETH,1,0xd47438C816c9E7f2E2888E060936a499Af9582b3,18,,,,https://base-rpc.publicnode.com,,,
base,8453,ETH,ETH,10,0x330bdFADE01eE9bF63C209Ee33102DD334618e0a,18,,,,https://base-rpc.publicnode.com,,,
base,8453,ETH,ETH,100,0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD,18,,,,https://base-rpc.publicnode.com,,,
ethereum,1,ETH,DAI,100,0xD4B88Df4D29F5CEDd6857912842cff3b20C8Cfa3,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,DAI,1000,0xFD8610d20aA15b7B2E3Be39B396a1bC3516c7144,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,DAI,1000,0xF60dD140cFf0706bAE9Cd734Ac3ae76AD9eBC32A,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,DAI,10000,0x07687e702b410Fa43f4cB4Af7FA097918ffD2730,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,https://ethereum-rpc.publicnode.com,,,
ethereum,1,ETH,DAI,100000,0x23773E65ed146A459791799d01336DB287f25334,18,0x6b175474e89094c44da98b954eedeac495271d0f,,,https://ethereum-rpc.publicnode.com,,,
